,Date,PETR4
1900,2018-08-23,17.950000762939453
1901,2018-08-24,18.299999237060547
1902,2018-08-27,18.709999084472656
1903,2018-08-28,18.350000381469727
1904,2018-08-29,19.299999237060547
1905,2018-08-30,18.799999237060547
1906,2018-08-31,19.260000228881836
1907,2018-09-03,19.0
1908,2018-09-04,18.649999618530273
1909,2018-09-05,18.75
1910,2018-09-06,18.989999771118164
1911,2018-09-10,19.260000228881836
1912,2018-09-11,18.5
1913,2018-09-12,18.950000762939453
1914,2018-09-13,18.709999084472656
1915,2018-09-14,18.790000915527344
1916,2018-09-17,19.399999618530273
1917,2018-09-18,20.25
1918,2018-09-19,19.979999542236328
1919,2018-09-20,19.8700008392334
1920,2018-09-21,20.139999389648438
1921,2018-09-24,20.0
1922,2018-09-25,20.079999923706055
1923,2018-09-26,20.190000534057617
1924,2018-09-27,21.459999084472656
1925,2018-09-28,21.09000015258789
1926,2018-10-01,21.0
1927,2018-10-02,22.81999969482422
1928,2018-10-03,23.790000915527344
1929,2018-10-04,24.020000457763672
1930,2018-10-05,23.959999084472656
1931,2018-10-08,26.600000381469727
1932,2018-10-09,26.81999969482422
1933,2018-10-10,26.049999237060547
1934,2018-10-11,25.290000915527344
1935,2018-10-15,25.770000457763672
1936,2018-10-16,26.729999542236328
1937,2018-10-17,26.450000762939453
1938,2018-10-18,25.700000762939453
1939,2018-10-19,25.920000076293945
1940,2018-10-22,26.530000686645508
1941,2018-10-23,26.200000762939453
1942,2018-10-24,25.68000030517578
1943,2018-10-25,26.31999969482422
1944,2018-10-26,27.600000381469727
1945,2018-10-29,26.420000076293945
1946,2018-10-30,28.0
1947,2018-10-31,27.6200008392334
1948,2018-11-01,27.31999969482422
1949,2018-11-05,28.15999984741211
1950,2018-11-06,27.190000534057617
1951,2018-11-07,26.299999237060547
1952,2018-11-08,25.350000381469727
1953,2018-11-09,25.459999084472656
1954,2018-11-12,25.329999923706055
1955,2018-11-13,24.239999771118164
1956,2018-11-14,25.100000381469727
1957,2018-11-16,25.799999237060547
1958,2018-11-19,26.0
1959,2018-11-21,25.170000076293945
1960,2018-11-22,25.149999618530273
1961,2018-11-23,24.3700008392334
1962,2018-11-26,24.25
1963,2018-11-27,25.530000686645508
1964,2018-11-28,25.3799991607666
1965,2018-11-29,25.170000076293945
1966,2018-11-30,25.459999084472656
1967,2018-12-03,25.940000534057617
1968,2018-12-04,25.34000015258789
1969,2018-12-05,25.559999465942383
1970,2018-12-06,24.59000015258789
1971,2018-12-07,24.770000457763672
1972,2018-12-10,23.440000534057617
1973,2018-12-11,23.290000915527344
1974,2018-12-12,23.299999237060547
1975,2018-12-13,23.360000610351562
1976,2018-12-14,23.049999237060547
1977,2018-12-17,22.8700008392334
1978,2018-12-18,22.0
1979,2018-12-19,22.25
1980,2018-12-20,21.489999771118164
1981,2018-12-21,21.549999237060547
1982,2018-12-26,21.68000030517578
1983,2018-12-27,21.670000076293945
1984,2018-12-28,22.68000030517578
1985,2019-01-02,24.059999465942383
1986,2019-01-03,24.649999618530273
1987,2019-01-04,24.719999313354492
1988,2019-01-07,25.110000610351562
1989,2019-01-08,24.959999084472656
1990,2019-01-09,25.479999542236328
1991,2019-01-10,25.260000228881836
1992,2019-01-11,24.989999771118164
1993,2019-01-14,24.850000381469727
1994,2019-01-15,24.829999923706055
1995,2019-01-16,24.81999969482422
1996,2019-01-17,25.15999984741211
1997,2019-01-18,25.399999618530273
1998,2019-01-21,25.530000686645508
1999,2019-01-22,25.1299991607666
2000,2019-01-23,25.43000030517578
2001,2019-01-24,25.540000915527344
2002,2019-01-28,24.770000457763672
2003,2019-01-29,25.3700008392334
2004,2019-01-30,25.6200008392334
2005,2019-01-31,25.579999923706055
2006,2019-02-01,25.799999237060547
2007,2019-02-04,26.030000686645508
2008,2019-02-05,26.079999923706055
2009,2019-02-06,25.489999771118164
2010,2019-02-07,25.09000015258789
2011,2019-02-08,25.1299991607666
2012,2019-02-11,24.84000015258789
2013,2019-02-12,25.719999313354492
2014,2019-02-13,26.049999237060547
2015,2019-02-14,26.950000762939453
2016,2019-02-15,26.84000015258789
2017,2019-02-18,26.760000228881836
2018,2019-02-19,27.3799991607666
